Trait,Mean-Pearson,Spearman,Top30,Top15,SD-Pearson,Spearman,Top30,Top15
H..Asymmetry.ov,0.789236813,0.761071011,0.694666667,0.677333333,0.069844195,0.086765915,0.114567566,0.160178871
Width.Widest.Pos,0.61224085,0.514012431,0.606,0.590666667,0.120909631,0.140355016,0.116567232,0.185857948
Eccentricity,0.795180824,0.652224274,0.574666667,0.357333333,0.077298415,0.109188995,0.10630251,0.169621239
Proximal.Eccentricity,0.240206692,0.201042547,0.462666667,0.464,0.336830518,0.170876529,0.128254501,0.169198664
Distal.Eccentricity,0.279596523,0.210126231,0.457333333,0.376,0.15671606,0.195134758,0.129192986,0.171718515
Fruit.Shape.Index.Internal,0.814308323,0.796269601,0.749333333,0.68,0.066566222,0.081776006,0.093941769,0.144705208
Eccentricity.Area.Index,0.734068762,0.679225826,0.672,0.6,0.081631893,0.096739326,0.101743196,0.155438328
Average.Red,0.627404949,0.605194565,0.631333333,0.534666667,0.103356136,0.108732164,0.114186158,0.164658144
Average.Green,0.692607452,0.660925695,0.663333333,0.530666667,0.088721131,0.104590737,0.110773162,0.176447671
Average.Blue,0.71767477,0.673055316,0.69,0.64,0.089921815,0.110927792,0.104752825,0.176467956
Average.Luminosity,0.695904834,0.641857211,0.660666667,0.609333333,0.095170056,0.112606047,0.114045009,0.184407874
Average.L.Value,0.695348184,0.671547855,0.684666667,0.578666667,0.088233643,0.107160647,0.118569022,0.175164991
Average.a.Value,0.682910101,0.56268731,0.618,0.268,0.089983028,0.104701129,0.115316896,0.170005922
Average.b.Value,0.415082479,0.454584483,0.540666667,0.305333333,0.135816091,0.143384187,0.123753743,0.187812082
Average.Hue,0.69233718,0.547272935,0.493333333,0.196,0.085214554,0.10108586,0.135936556,0.141838362
Average.Chroma,0.576056813,0.561005764,0.586666667,0.376,0.108903939,0.10734854,0.116818374,0.174817258
Lobedness.Degree,0.52683202,0.501743879,0.508,0.404,0.121319479,0.119837893,0.117878336,0.151005578
Pericarp.Area,0.570761743,0.539657082,0.558666667,0.46,0.114139295,0.116513213,0.105669274,0.182083394
Pericarp.Thickness,0.527197081,0.497627212,0.524,0.349333333,0.116151819,0.123518817,0.113326753,0.16898698
Brix....refractometer,0.573015198,0.581669067,0.606666667,0.32,0.124080835,0.106056103,0.115081918,0.18391711
Vit..C,0.500212357,0.490515287,0.496666667,0.336,0.121392251,0.131994857,0.120634045,0.169198664
TP..Conc...mg.GAE.100g.FW,0.444042177,0.41323515,0.454666667,0.402666667,0.163696405,0.14393915,0.117916286,0.165455104
FRAP.Conc...uM.Fe2..gFW,0.40047607,0.36849628,0.484666667,0.344,0.16951661,0.146052613,0.113360307,0.189835676
fruit.wall.thickness.pericarp..mm.,0.85458091,0.846475611,0.726666667,0.669333333,0.044019396,0.053582457,0.1059737,0.167069759
fruit.weigth..g.,0.877245723,0.870871655,0.738,0.645333333,0.037580097,0.041164043,0.101445922,0.150429661
productivity..kg..per.plant,0.556630699,0.527515195,0.484,0.345333333,0.102125823,0.11048162,0.10496404,0.176310688
fruits.number.per.plant,0.825642497,0.683865456,0.731333333,0.641333333,0.142162662,0.101184891,0.094929622,0.162689917
